team-year,W.rank,L.rank,Finish.rank,Age.rank,Ht.rank,Wt.rank,G.rank,MP.rank,FG.rank,FGA.rank,FG%.rank,3P.rank,3PA.rank,3P%.rank,2P.rank,2PA.rank,2P%.rank,FT.rank,FTA.rank,FT%.rank,ORB.rank,DRB.rank,TRB.rank,AST.rank,STL.rank,BLK.rank,TOV.rank,PF.rank,PTS.rank
NYK-1954,44,28,1,3,3,2,72,,8,8,4,,,,8,8,4,3,3,4,,,2,4,,,,5,5
NYK-1953,47,23,1,5,3,4,70,,4,6,3,,,,4,6,3,4,3,7,,,1,2,,,,5,4
NYK-1952,37,29,3,8,8,4,66,,5,6,3,,,,5,6,3,7,5,9,,,1,4,,,,6,6
NYK-1951,36,30,3,,,,66,,4,8,1,,,,4,8,1,7,6,11,,,5,2,,,,7,6
NYK-1950,40,28,2,,,,68,,7,10,6,,,,7,10,6,1,1,9,,,,10,,,,7,5
NYK-1949,32,28,2,,,,60,,9,8,7,,,,9,8,7,5,4,5,,,,10,,,,8,7
NYK-1948,26,22,2,,,,48,,2,3,4,,,,2,3,4,3,4,5,,,,2,,,,4,2
NYK-1947,33,27,3,,,,60,,8,9,6,,,,8,9,6,6,7,3,,,,6,,,,5,8
OKC-2019,5,4,3,24,10,29,9,28,25,23,20,28,24,30,18,19,14,13,7,29,11,27,25,28,1,20,5,15,25
OKC-2018,48,34,2,7,7,10,82,8,13,4,18,15,11,24,15,16,16,10,4,29,1,26,5,28,1,11,13,21,12
OKC-2017,47,35,2,28,6,20,82,13,11,5,17,26,18,30,7,8,13,8,4,26,1,7,1,25,14,10,24,24,11
OKC-2016,55,27,1,21,7,4,82,11,2,7,3,17,17,17,3,11,2,4,7,10,1,2,1,10,21,4,26,16,2
OKC-2015,45,37,2,23,17,5,82,18,6,4,18,16,14,23,4,7,17,6,6,14,1,2,1,25,21,6,19,29,5
OKC-2014,59,23,1,15,8,9,82,20,6,15,6,15,14,14,8,22,5,5,8,2,18,6,6,13,10,2,25,28,5
OKC-2013,60,22,1,17,3,12,82,12,8,28,3,14,16,3,10,21,5,1,2,1,25,3,6,21,9,1,27,16,3
OKC-2012,47,19,1,25,15,9,66,8,11,25,3,12,12,11,15,27,2,1,2,1,19,3,6,30,16,1,30,23,3
OKC-2011,55,27,1,30,11,15,82,1,14,18,10,18,19,19,10,12,9,1,2,1,15,8,8,24,6,2,15,28,5
OKC-2010,50,32,4,30,6,11,82,15,19,20,14,25,23,25,9,8,18,2,3,2,10,8,3,23,6,1,24,20,14
OKC-2009,23,59,5,28,11,8,82,14,17,9,26,30,30,28,5,1,30,8,12,9,4,13,6,20,13,22,30,8,24
SEA-2008,20,62,5,24,7,3,82,9,8,3,23,29,30,28,2,1,28,23,24,9,11,3,2,16,23,12,29,12,16
SEA-2007,31,51,5,21,19,13,82,18,8,11,14,12,12,11,11,14,14,22,27,4,13,27,25,17,7,26,18,13,12
SEA-2006,35,47,3,19,9,17,82,17,3,5,9,4,3,10,15,18,7,15,21,4,6,28,25,15,6,25,22,22,2
SEA-2005,52,30,1,22,19,7,82,24,22,20,18,2,2,5,29,29,10,11,15,3,8,27,23,30,24,23,6,25,11
SEA-2004,37,45,5,21,2,10,82,15,9,12,7,1,1,2,28,29,5,25,24,10,23,28,29,11,11,18,10,19,6
SEA-2003,40,42,5,17,4,11,82,10,19,17,20,10,8,12,23,21,22,26,27,21,16,23,24,14,10,27,3,8,23
SEA-2002,45,37,4,17,2,15,82,8,5,12,1,8,10,2,5,19,1,27,28,14,17,28,27,5,7,23,7,11,6
SEA-2001,44,38,5,12,5,19,82,18,7,13,8,9,10,2,12,14,11,20,17,23,13,23,20,14,13,18,17,7,8
SEA-2000,45,37,4,11,6,26,82,19,7,5,19,3,3,18,21,24,9,27,23,29,11,15,15,12,13,27,6,7,10
SEA-1999,25,25,5,1,4,27,50,10,7,10,13,2,4,13,18,22,8,17,9,28,9,19,14,9,21,25,13,8,4
SEA-1998,61,21,1,3,7,26,82,24,7,15,3,1,2,1,25,27,3,18,19,23,28,24,29,5,3,19,2,12,4
SEA-1997,57,25,1,3,10,28,82,22,12,19,8,9,7,18,16,24,4,3,5,8,17,19,22,6,1,16,8,14,4
SEA-1996,64,18,1,3,9,19,82,6,14,24,4,6,4,16,21,27,1,2,2,7,23,8,12,7,1,18,27,20,2
SEA-1995,57,25,2,6,7,12,82,14,3,10,3,11,11,5,4,14,4,1,1,6,13,13,11,4,1,16,10,23,3
SEA-1994,63,19,1,7,9,12,82,20,7,13,5,17,19,14,4,12,5,4,6,10,12,23,23,6,1,21,10,18,5
SEA-1993,55,27,2,10,16,19,82,16,6,11,7,17,18,5,4,7,11,16,14,12,8,25,19,23,1,16,9,18,5
SEA-1992,47,35,4,12,12,10,82,8,11,14,12,14,13,18,13,16,11,8,10,6,6,24,15,21,6,13,17,22,10
SEA-1991,41,41,5,19,13,19,82,5,7,15,5,20,21,15,5,10,8,21,21,19,9,25,19,14,2,20,23,18,11
SEA-1990,41,41,4,24,19,23,82,1,9,8,14,7,9,6,15,13,14,22,20,24,3,23,12,23,15,23,16,25,14
SEA-1989,47,35,3,15,6,14,82,14,7,7,11,3,3,1,17,12,11,18,11,20,1,22,10,12,3,6,15,18,7
SEA-1988,44,38,3,19,6,14,82,3,7,4,12,2,2,3,14,12,13,12,8,19,2,17,7,10,3,11,12,23,6
SEA-1987,39,43,4,16,8,12,82,5,6,4,8,3,3,4,10,13,8,12,7,16,1,14,3,10,11,9,19,22,5
SEA-1986,31,51,5,11,15,17,82,1,21,19,20,11,10,14,21,22,19,14,16,4,12,22,22,20,9,23,10,17,20
SEA-1985,31,51,4,12,9,8,82,22,23,22,21,19,21,18,23,23,21,16,16,9,22,21,22,10,17,19,14,9,23
SEA-1984,42,40,3,8,11,15,82,16,15,17,15,19,18,21,15,14,15,9,12,4,21,14,19,5,17,21,6,1,15
SEA-1983,48,34,3,3,8,2,82,8,12,14,6,20,18,19,10,13,6,10,9,16,17,3,7,4,16,11,8,4,10
SEA-1982,52,30,2,11,4,3,82,6,15,14,14,16,14,15,13,13,15,9,10,13,20,2,7,9,12,10,6,8,12
SEA-1981,34,48,6,6,7,3,82,11,19,16,20,13,18,6,19,13,21,9,11,10,14,9,11,20,21,12,12,5,20
SEA-1980,56,26,2,7,9,9,82,10,13,7,18,10,13,6,13,7,18,11,12,11,3,4,2,16,16,11,7,4,12
SEA-1979,52,30,1,8,7,6,82,15,20,14,19,,,,20,14,19,15,15,12,3,6,4,17,16,14,9,3,19
SEA-1978,47,35,3,12,2,14,82,15,19,9,21,,,,19,9,21,15,7,21,1,13,4,21,15,9,9,9,18
SEA-1977,40,42,4,19,6,20,82,3,17,10,18,,,,17,10,18,15,7,22,2,22,15,21,2,2,17,19,18
SEA-1976,43,39,2,18,8,9,82,10,4,4,10,,,,4,4,10,11,8,18,6,18,16,8,2,10,9,16,5
SEA-1975,43,39,2,15,8,4,82,1,5,5,10,,,,5,5,10,14,13,14,9,15,14,8,3,8,10,11,9
SEA-1974,36,46,3,14,9,4,82,6,7,1,14,,,,7,1,14,11,11,11,4,10,5,6,12,14,4,15,9
SEA-1973,26,56,4,15,4,3,82,4,16,16,13,,,,16,16,13,7,9,7,,,8,13,,,,8,15
SEA-1972,47,35,3,8,12,5,82,11,14,17,3,,,,14,17,3,5,6,4,,,10,9,,,,2,9
SEA-1971,38,44,4,8,12,5,82,14,7,7,4,,,,7,7,4,6,6,7,,,6,7,,,,6,5
SEA-1970,36,46,5,4,10,8,82,8,8,9,7,,,,8,9,7,3,5,4,,,8,1,,,,10,8
SEA-1969,30,52,6,10,9,9,82,3,10,8,8,,,,10,8,8,5,6,10,,,12,6,,,,14,7
SEA-1968,23,59,5,12,3,8,82,9,3,1,8,,,,3,1,8,7,6,8,,,7,3,,,,12,3
ORL-2019,4,6,3,23,4,28,10,15,20,13,29,22,16,28,19,17,26,30,30,21,14,20,17,15,15,14,4,2,26
ORL-2018,25,57,4,22,19,28,82,23,20,17,19,17,14,28,19,18,17,23,21,21,25,24,26,11,20,13,17,11,24
ORL-2017,29,53,5,23,12,20,82,13,22,11,28,25,15,29,16,10,26,27,27,25,17,16,20,18,24,15,9,11,27
